title,address,recommended_units,review_score,final_price
Ez Aclimação Hotel,"Vila Mariana, São Paulo","Estúdio Premium
Estúdio inteiro • 1 banheiro • 28 m²
1 cama de casal grande
Resta 1 unidade por esse preço no nosso site","Com nota 8,7
8,7
Fabuloso
5.184 avaliações",R$ 425
INNSiDE by Meliá São Paulo Higienópolis,"Consolação, São Paulo (Higienópolis)","Acomodação The Loft para Famílias
3 camas (2 de solteiro, 1 de casal)
Não requer pré-pagamento – pague na acomodação
Resta 1 quarto por esse preço no nosso site","Com nota 8,2
8,2
Muito bom
1.585 avaliações",R$ 1.405
Radisson São Paulo Paulista,"Vila Mariana, São Paulo (Avenida Paulista)","Quarto Premier com Cama King-size
1 cama de casal extragrande
Cancelamento grátis
Não requer pré-pagamento – pague na acomodação
Restam 7 quartos por esse preço no nosso site","Com nota 8,2
8,2
Muito bom
2.749 avaliações",R$ 1.376
INNSiDE by Meliá São Paulo ITAIM,"Bairro do Itaim Bibi, São Paulo","Quarto Innside com cama queen-size e varanda
1 cama de casal
Não requer pré-pagamento – pague na acomodação
Restam 2 quartos por esse preço no nosso site","Com nota 8,4
8,4
Muito bom
937 avaliações",R$ 1.036
Plaza Inn American Loft - Barra Funda,"Perdizes, São Paulo","Quarto Triplo Deluxe
2 camas (1 de solteiro, 1 de casal)
Café da manhã incluído","Com nota 8,9
8,9
Fabuloso
2.363 avaliações",R$ 600
Holiday Inn Sao Paulo Parque Anhembi by IHG,"Santana, São Paulo (Zona Norte)","Quarto com Cama King-size
1 cama de casal extragrande
Cancelamento grátis
Não requer pré-pagamento – pague na acomodação","Com nota 8,7
8,7
Fabuloso
2.518 avaliações",R$ 786
Tivoli Mofarrej São Paulo,"Jardim Paulista, São Paulo (Avenida Paulista)","Deluxe Plus
1 cama de casal extragrande
Não requer pré-pagamento – pague na acomodação","Com nota 9,0
9,0
Fantástico
646 avaliações",R$ 3.003
Meliá Paulista,"Jardim Paulista, São Paulo (Avenida Paulista)","Quarto grand premium com vista
1 cama de casal grande
Cancelamento grátis
Não requer pré-pagamento – pague na acomodação
Restam 4 quartos por esse preço no nosso site","Com nota 8,2
8,2
Muito bom
2.432 avaliações",R$ 1.480
Cozzy Suites Paraíso Hotel,"Vila Mariana, São Paulo","Suíte com Cama Queen-size
Suíte privativa
1 cama de casal grande
Restam 6 unidades por esse preço no nosso site","Com nota 9,1
9,1
Fantástico
3.147 avaliações",R$ 715
ibis Styles SP Faria Lima,"Pinheiros, São Paulo","Apartamento Standard com Cama de Casal
Apartamento inteiro • 1 quarto • 1 banheiro • 18 m²
1 cama de casal
Cancelamento grátis
Não requer pré-pagamento – pague na acomodação
Restam 7 unidades por esse preço no nosso site","Com nota 8,2
8,2
Muito bom
1.862 avaliações",R$ 685
Iconyc Charlie Ibirapuera Hotel,"Saúde, São Paulo (Vila Clementino)","Estúdio Superior
Estúdio inteiro • 1 banheiro • 29 m²
1 cama de casal
Cancelamento grátis","Com nota 8,6
8,6
Fabuloso
2.499 avaliações",R$ 634
Hotel Calstar,"República, São Paulo","Quarto Standard com Cama de Casal
1 cama de casal
Café da manhã incluído
Cancelamento grátis
Não requer pré-pagamento – pague na acomodação
Restam 2 quartos por esse preço no nosso site","Com nota 8,8
8,8
Fabuloso
4.052 avaliações",R$ 188
B&B HOTEL São Paulo Luz - Centro,"Sé, São Paulo","Quarto Standard com 2 Camas de Solteiro
2 camas de solteiro","Com nota 8,3
8,3
Muito bom
5.421 avaliações",R$ 427
Fênix Hotel Bom Retiro,"Bom Retiro, São Paulo","Quarto com 2 Camas de Solteiro
2 camas de solteiro
Café da manhã incluído
Cancelamento grátis
Restam 3 quartos por esse preço no nosso site","Com nota 7,4
7,4
Bom
2.577 avaliações",R$ 259
Mercure Sao Paulo Pinheiros,"Jardim Paulista, São Paulo","Quarto Standard com 2 Camas de Solteiro
2 camas de solteiro
Cancelamento grátis
Não requer pré-pagamento – pague na acomodação","Com nota 8,2
8,2
Muito bom
1.509 avaliações",R$ 1.070
Novotel Sao Paulo Center Norte,"Vila Guilherme, São Paulo (Zona Norte)","Quarto Standard com 2 Camas de Solteiro
1 cama de solteiro
Não requer pré-pagamento – pague na acomodação","Com nota 8,3
8,3
Muito bom
1.925 avaliações",R$ 960
OYO Hotel Brás,"Brás, São Paulo (Zona Leste)","Quarto com 2 Camas de Solteiro
2 camas de solteiro
Cancelamento grátis
Não requer pré-pagamento – pague na acomodação
Resta 1 quarto por esse preço no nosso site","Com nota 7,4
7,4
Bom
378 avaliações",R$ 165
Braston Augusta Hotel by Castelo Itaipava,"Consolação, São Paulo","Quarto Duplo Standard
1 cama de casal
Café da manhã incluído","Com nota 7,6
7,6
Bom
2.304 avaliações",R$ 382
ibis Sao Paulo Interlagos,São Paulo,"Quarto com 2 Camas de Solteiro
2 camas de solteiro
Restam 7 quartos por esse preço no nosso site","Com nota 7,8
7,8
Bom
1.154 avaliações",R$ 950
Studios Mood Martiniano,"Bela Vista, São Paulo","Estúdio Standard
Estúdio inteiro • 1 banheiro • 18 m²
1 cama de casal","Com nota 9,0
9,0
Fantástico
967 avaliações",R$ 193
Wyndham Sao Paulo Ibirapuera Convention Plaza,"Moema, São Paulo","Quarto Superior com 2 Camas de Solteiro
2 camas de solteiro
Café da manhã incluído","Com nota 8,4
8,4
Muito bom
3.588 avaliações",R$ 1.097
EZ Moema Hotel,"Moema, São Paulo","Estúdio Standard
Estúdio inteiro • 1 banheiro • 15 m²
1 cama de casal grande","Com nota 8,8
8,8
Fabuloso
903 avaliações",R$ 490
Golden Tower Pinheiros by Fênix Hotéis,"Pinheiros, São Paulo","Quarto Duplo Luxo
1 cama de casal grande
Café da manhã incluído
Cancelamento grátis
Resta 1 quarto por esse preço no nosso site","Com nota 8,1
8,1
Muito bom
2.397 avaliações",R$ 1.068
Bê Hotel,"Barra Funda, São Paulo","Quarto Duplo Superior
1 cama de casal
Café da manhã incluído
Restam 4 quartos por esse preço no nosso site","Com nota 9,0
9,0
Fantástico
1.746 avaliações",R$ 672
Hotel Mooca,"Mooca, São Paulo (Zona Leste)","Quarto Duplo Econômico
1 cama de casal
Café da manhã incluído
Cancelamento grátis
Não requer pré-pagamento – pague na acomodação
Resta 1 quarto por esse preço no nosso site","Com nota 7,9
7,9
Bom
157 avaliações",R$ 230
Hotel Dan Inn Planalto São Paulo,"República, São Paulo","Quarto Duplo Standard
1 cama de casal
Café da manhã incluído","Com nota 8,3
8,3
Muito bom
6.769 avaliações",R$ 257
Ibis Styles SP Centro,"República, São Paulo","Quarto Duplo Standard
1 cama de casal
Cancelamento grátis
Não requer pré-pagamento – pague na acomodação","Com nota 8,3
8,3
Muito bom
2.138 avaliações",R$ 400
Novotel São Paulo Berrini,"Santo Amaro, São Paulo","Apartamento Superior com 2 Camas de Solteiro
2 camas de solteiro
Cancelamento grátis
Não requer pré-pagamento – pague na acomodação","Com nota 8,8
8,8
Fabuloso
1.785 avaliações",R$ 880
New Point Hotel,"Bela Vista, São Paulo","Quarto Deluxe com Cama de Casal
1 cama de casal
Café da manhã incluído
Cancelamento grátis
Não requer pré-pagamento – pague na acomodação
Restam 7 quartos por esse preço no nosso site","Com nota 9,0
9,0
Fantástico
2.177 avaliações",R$ 174
Cinelandia Hotel,"República, São Paulo","Quarto Standard com 2 Camas de Solteiro
2 camas de solteiro
Café da manhã incluído
Não requer pré-pagamento – pague na acomodação","Com nota 7,9
7,9
Bom
2.603 avaliações",R$ 190
Laghetto Stilo São Paulo,"Vila Mariana, São Paulo (Paraíso)","Quarto Deluxe
1 cama de casal
Café da manhã incluído
Restam 2 quartos por esse preço no nosso site","Com nota 8,9
8,9
Fabuloso
2.328 avaliações",R$ 1.178
Hotel Trianon Paulista,"Jardim Paulista, São Paulo (Avenida Paulista)","Quarto Executivo com 2 Camas de Solteiro
2 camas de solteiro
Café da manhã incluído","Com nota 8,5
8,5
Muito bom
4.535 avaliações",R$ 878
Hotel Suites Flex Inn,"Vila Guilherme, São Paulo (Zona Norte)","Quarto Deluxe com Cama de Casal ou 2 de Solteiro
2 camas de solteiro
Café da manhã incluído
Cancelamento grátis
Restam 2 quartos por esse preço no nosso site","Com nota 6,7
6,7
Nota
176 avaliações",R$ 225
Daher Center Hotel,"República, São Paulo","Quarto Deluxe com 2 Camas de Solteiro
2 camas de solteiro
Café da manhã incluído
Cancelamento grátis
Não requer pré-pagamento – pague na acomodação","Com nota 8,1
8,1
Muito bom
1.113 avaliações",R$ 295
Hospedaria Santo André,"Perdizes, São Paulo (Pompeia)","Quarto Duplo
1 cama de casal
Café da manhã incluído
Restam 4 quartos por esse preço no nosso site","Com nota 9,3
9,3
Fantástico
1.848 avaliações",R$ 416
Hotel Normandie,"República, São Paulo","Quarto Duplo com 1 Cama de Casal
1 cama de casal
Café da manhã incluído","Com nota 8,7
8,7
Fabuloso
4.312 avaliações",R$ 297
Wyndham Garden São Paulo Convention Nortel,"Vila Guilherme, São Paulo (Zona Norte)","Quarto Triplo Superior
3 camas de solteiro
Café da manhã incluído
Não requer pré-pagamento – pague na acomodação","Com nota 8,0
8,0
Muito bom
1.038 avaliações",R$ 626
ZEST Teodoro,"Pinheiros, São Paulo","Suíte Deluxe
Suíte privativa
1 cama de casal","Com nota 8,0
8,0
Muito bom
1.504 avaliações",R$ 136
You Stay at Vila Olimpia - ITC,"Bairro do Itaim Bibi, São Paulo (Vila Olímpia)","Apartamento
Apartamento inteiro • 1 quarto • 1 sala • 1 banheiro • 32 m²
3 camas (1 de solteiro, 1 de casal, 1 sofá-cama)
Restam 3 unidades por esse preço no nosso site","Com nota 8,7
8,7
Fabuloso
955 avaliações",R$ 945
Bistu Hotel - Vila Nova Conceição,"Moema, São Paulo (Vila Nova Conceição)","Suíte Deluxe
Suíte privativa • 1 quarto • 1 sala • 1 banheiro • 22 m²
1 cama de casal grande
Café da manhã incluído
Restam 3 unidades por esse preço no nosso site","Com nota 8,0
8,0
Muito bom
877 avaliações",R$ 452
Sooz Hotel Collection,"República, São Paulo","Quarto Standard com 2 Camas de Solteiro
2 camas de solteiro
Café da manhã incluído
Cancelamento grátis
Não requer pré-pagamento – pague na acomodação","Com nota 8,9
8,9
Fabuloso
3.871 avaliações",R$ 459
Transamerica Executive Congonhas,"Campo Belo, São Paulo","Quarto Standard com 2 Camas de Solteiro
2 camas de solteiro
Café da manhã incluído
Cancelamento grátis
Não requer pré-pagamento – pague na acomodação
Resta 1 quarto por esse preço no nosso site","Com nota 8,7
8,7
Fabuloso
2.492 avaliações",R$ 1.054
Charlie On The Parc Ibirapuera Hotel,"Moema, São Paulo","Suíte Standard
Suíte privativa
1 cama de casal
Cancelamento grátis
Resta 1 unidade por esse preço no nosso site","Com nota 8,8
8,8
Fabuloso
1.003 avaliações",R$ 444
155 Hotel,"República, São Paulo","Quarto com Cama de Casal ou 2 de Solteiro
Camas: 1 de casal ou 2 de solteiro
Café da manhã incluído
Não requer pré-pagamento – pague na acomodação","Com nota 8,4
8,4
Muito bom
3.081 avaliações",R$ 399
Hotel Panamby São Paulo,"Barra Funda, São Paulo","Quarto Superior com 2 Camas de Solteiro
2 camas de solteiro
Café da manhã incluído
Cancelamento grátis
Não requer pré-pagamento – pague na acomodação","Com nota 8,9
8,9
Fabuloso
4.069 avaliações",R$ 900
Hotel Biz,"Vila Guilherme, São Paulo (Zona Norte)","Quarto Duplo Standard
1 cama de casal
Resta 1 quarto por esse preço no nosso site","Com nota 7,4
7,4
Bom
770 avaliações",R$ 297
Vila Galé Paulista,"Consolação, São Paulo (Avenida Paulista)","Superior
Diversos tipos de cama
Café da manhã incluído
Não requer pré-pagamento – pague na acomodação","Com nota 8,7
8,7
Fabuloso
1.506 avaliações",R$ 997
ibis Sao Paulo Tatuape,"Tatuapé, São Paulo (Zona Leste)","Quarto Duplo
1 cama de casal
Cancelamento grátis
Não requer pré-pagamento – pague na acomodação","Com nota 8,6
8,6
Fabuloso
3.318 avaliações",R$ 500
Grand Hyatt São Paulo,"Bairro do Itaim Bibi, São Paulo","Quarto com Cama King-size
1 cama de casal extragrande
Cancelamento grátis
Não requer pré-pagamento – pague na acomodação
Restam 4 quartos por esse preço no nosso site","Com nota 9,0
9,0
Fantástico
1.955 avaliações",R$ 3.029
"Palácio Tangará, Oetker Hotels","Vila Andrade, São Paulo","Quarto Duplo Deluxe com 2 Camas de Casal
2 camas de casal
Não requer pré-pagamento – pague na acomodação","Com nota 9,4
9,4
Fantástico
661 avaliações",R$ 3.780
DELPLAZA Excelsior São Paulo - By Monreale,"República, São Paulo","Quarto Superior com 2 Camas de Solteiro
2 camas de solteiro
Café da manhã incluído","Com nota 8,0
8,0
Muito bom
3.194 avaliações",R$ 458
Mercure São Paulo Nações Unidas,"Santo Amaro, São Paulo","Quarto Superior com 2 Camas de Solteiro
2 camas de solteiro
Cancelamento grátis
Não requer pré-pagamento – pague na acomodação
Restam 7 quartos por esse preço no nosso site","Com nota 8,5
8,5
Muito bom
1.434 avaliações",R$ 885
Hotel America do Sul,"República, São Paulo","Quarto Duplo com Cama de Casal
1 cama de casal
Café da manhã incluído
Não requer pré-pagamento – pague na acomodação","Com nota 7,9
7,9
Bom
3.639 avaliações",R$ 217
HLN Hotel - Expo - Anhembi,"Santana, São Paulo (Zona Norte)","Quarto Triplo Superior com Ar-condicionado
3 camas de solteiro
Café da manhã incluído
Resta 1 quarto por esse preço no nosso site","Com nota 7,8
7,8
Bom
1.998 avaliações",R$ 381
Floresta Hotel - Expo C Norte - Distrito Anhembi,"Vila Guilherme, São Paulo (Zona Norte)","Quarto Triplo Standard
3 camas de solteiro
Café da manhã incluído
Restam 4 quartos por esse preço no nosso site","Com nota 7,5
7,5
Bom
3.070 avaliações",R$ 810
Hotel Madrugada,"Pari, São Paulo (Zona Leste)","Suíte
Suíte privativa
1 cama de casal
Café da manhã incluído
Cancelamento grátis
Restam 4 unidades por esse preço no nosso site","Com nota 8,3
8,3
Muito bom
510 avaliações",R$ 238
Double Tree by Hilton São Paulo Itaim,"Bairro do Itaim Bibi, São Paulo","Quarto Deluxe com Cama King-size
1 cama de casal grande
Café da manhã incluído
Cancelamento grátis
Não requer pré-pagamento – pague na acomodação
Resta 1 quarto por esse preço no nosso site","Com nota 8,4
8,4
Muito bom
944 avaliações",R$ 1.712
Staybridge Suites São Paulo by IHG,"Bairro do Itaim Bibi, São Paulo","Estúdio Suíte com Cama Queen-Size
Suíte privativa
1 cama de casal grande
Café da manhã incluído
Cancelamento grátis
Não requer pré-pagamento – pague na acomodação
Resta 1 unidade por esse preço no nosso site","Com nota 8,5
8,5
Muito bom
781 avaliações",R$ 1.454
Mercure Sao Paulo Grand Plaza Paulista,"Vila Mariana, São Paulo (Avenida Paulista)","Apartamento Standard com Cama Queen-size
1 cama de casal grande
Cancelamento grátis
Restam 7 quartos por esse preço no nosso site","Com nota 7,9
7,9
Bom
1.397 avaliações",R$ 883
Royal Collection Paulista,"Jardim Paulista, São Paulo (Avenida Paulista)","Quarto Standard com 2 Camas de Solteiro
2 camas de solteiro
Café da manhã incluído
Restam 4 quartos por esse preço no nosso site","Com nota 8,6
8,6
Fabuloso
2.348 avaliações",R$ 725
RD Cyclinn Vila Olímpia,"Bairro do Itaim Bibi, São Paulo (Vila Olímpia)","Apartamento
Apartamento inteiro • 1 quarto • 1 banheiro
1 cama de casal extragrande
Resta 1 unidade por esse preço no nosso site","Com nota 7,8
7,8
Bom
449 avaliações",R$ 1.173
