title,address,recommended_units,review_score,final_price
KABIN Taka,"Shimogyo Ward, Kyoto (Gion)","Studio Twin - Non-smoking
2 twin beds
Only 1 room left at this price on our site","Scored 9.0
9.0
Wonderful
2,331 reviews",$500
Imu Hotel Kyoto,"Shimogyo Ward, Kyoto (Kawaramachi)","Japanese-Style Room with Terrace
2 futon beds
Free cancellation
No prepayment needed – pay at the property
Only 1 room left at this price on our site","Scored 9.0
9.0
Wonderful
4,213 reviews",$97
APA Hotel Kyoto Ekihigashi,"Shimogyo Ward, Kyoto (Kyoto Station Area)","Room Selected at Check-In (2 adult)
Free cancellation
No prepayment needed – pay at the property
Only 1 room left at this price on our site","Scored 8.5
8.5
Very Good
4,603 reviews",$208
The OneFive Kyoto Shijo,"Nakagyo Ward, Kyoto (Shijo)","Japanese Modern Twin Room - Non-Smoking
2 twin beds
Free cancellation
No prepayment needed – pay at the property","Scored 8.6
8.6
Excellent
4,041 reviews",$140
HOTEL RINGS KYOTO,"Nakagyo Ward, Kyoto (Kawaramachi)","Large Twin Room
2 twin beds
Free cancellation
No prepayment needed – pay at the property
Only 1 room left at this price on our site","Scored 9.1
9.1
Wonderful
1,756 reviews",$241
Hotel Elcient Kyoto Hachijoguchi,"Minami Ward, Kyoto (Kyoto Station Area)","Standard Twin Room - Non-Smoking
2 twin beds
Breakfast included
Free cancellation
Only 1 room left at this price on our site","Scored 8.5
8.5
Very Good
6,239 reviews",$211
Hotel Excellence Kyoto Station Hachijo,"Minami Ward, Kyoto (Kyoto Station Area)","2×
Single Room - Non-Smoking
2 twin beds
Free cancellation
No prepayment needed – pay at the property","Scored 7.6
7.6
Good
2,986 reviews",$182
Kyoto Umekoji Kadensho,"Shimogyo Ward, Kyoto (Kyoto Station Area)","Triple Room
3 twin beds
Free cancellation
Only 1 room left at this price on our site","Scored 9.2
9.2
Wonderful
1,243 reviews",$350
Hotel Granvia Kyoto,"Shimogyo Ward, Kyoto (Kyoto Station Area)","Deluxe Twin Room with Club Lounge Access - Non-Smoking
2 twin beds
Breakfast included
Only 3 rooms left at this price on our site","Scored 8.9
8.9
Excellent
3,862 reviews",$599
The Royal Park Hotel Kyoto Umekoji,"Shimogyo Ward, Kyoto (Kyoto Station Area)","Superior Twin Room
2 twin beds
Free cancellation","Scored 9.1
9.1
Wonderful
3,702 reviews",$179
22 PIECES,"Minami Ward, Kyoto (Kyoto Station Area)","Studio with Dining Table
Entire studio • 1 bathroom • 1 kitchen • 388 ft²
3 twin beds
Only 1 left at this price on our site","Scored 9.3
9.3
Wonderful
1,040 reviews",$273
Daiwa Roynet Hotel Kyoto Shijo Karasuma,"Shimogyo Ward, Kyoto (Kawaramachi)","Standard Double Room - Non-Smoking
1 full bed
Free cancellation
No prepayment needed – pay at the property
Only 2 rooms left at this price on our site","Scored 8.2
8.2
Very Good
1,442 reviews",$203
The Royal Park Hotel Kyoto Sanjo,"Nakagyo Ward, Kyoto (Kawaramachi)","Standard Twin Room
2 twin beds
Free cancellation
Only 3 rooms left at this price on our site","Scored 8.8
8.8
Excellent
1,976 reviews",$280
Kyoto Plaza Hotel Kintetsu Jujo,"Minami Ward, Kyoto (Kyoto Station Area)","Double Room - Non-Smoking
1 full bed
Free cancellation
No prepayment needed – pay at the property","Scored 8.2
8.2
Very Good
1,663 reviews",$109
Hotel Keihan Kyoto Hachijoguchi,"Minami Ward, Kyoto (Kyoto Station Area)","Moderate Triple Room - Non-Smoking
3 twin beds
Only 2 rooms left at this price on our site","Scored 8.7
8.7
Excellent
3,378 reviews",$264
THE MACHIYA EBISUYA,"Shimogyo Ward, Kyoto (Gion)","Deluxe Queen Suite
Private suite
1 queen bed
Only 2 left at this price on our site","Scored 9.1
9.1
Wonderful
759 reviews",$222
Miro Kyoto Nijo Hotel,"Nakagyo Ward, Kyoto (Kawaramachi, Karasuma, Omiya)","Double Room
1 full bed
Only 2 rooms left at this price on our site","Scored 8.1
8.1
Very Good
2,156 reviews",$151
Hotel Okura Kyoto,"Nakagyo Ward, Kyoto (Kawaramachi)","Small Double Room - Non-Smoking
1 full bed
Free cancellation
Only 3 rooms left at this price on our site","Scored 9.0
9.0
Wonderful
1,492 reviews",$211
Keio Prelia Hotel Kyoto Karasuma-Gojo,"Shimogyo Ward, Kyoto (Kawaramachi)","Comfort Twin Room
2 twin beds
Free cancellation
No prepayment needed – pay at the property","Scored 9.0
9.0
Wonderful
1,101 reviews",$183
Hyatt Place Kyoto,"Nakagyo Ward, Kyoto (Kawaramachi, Karasuma, Omiya)","King Room
1 king bed
Free cancellation
No prepayment needed – pay at the property
Only 1 room left at this price on our site","Scored 9.0
9.0
Wonderful
870 reviews",$253
ALA HOTEL KYOTO,"Shimogyo Ward, Kyoto (Kyoto Station Area)","Standard Double Room
1 queen bed
Only 3 rooms left at this price on our site","Scored 9.0
9.0
Wonderful
2,232 reviews",$247
Umekoji Potel KYOTO,"Shimogyo Ward, Kyoto (Kyoto Station Area)","Wood Box Twin Room and Fixed Window with Shower - Non Smoking
2 twin beds
Free cancellation
Only 1 room left at this price on our site","Scored 9.2
9.2
Wonderful
1,373 reviews",$255
Heian No Mori Kyoto,"Sakyo Ward, Kyoto (Ohara, Kibune, Kurama)","Twin Room with Shower - Non-Smoking
2 twin beds
Free cancellation
No prepayment needed – pay at the property
Only 4 rooms left at this price on our site","Scored 7.3
7.3
Good
755 reviews",$143
Kyoto Shijo Takakura Hotel Grandereverie,"Shimogyo Ward, Kyoto (Gion)","Superior Twin Room
2 twin beds
Only 2 rooms left at this price on our site","Scored 9.3
9.3
Wonderful
753 reviews",$349
MIMARU SUITES KYOTO CENTRAL,"Nakagyo Ward, Kyoto (Karasuma)","Two-Bedroom Suite for 4
Private suite • 2 bedrooms • 1 living room • 2 bathrooms • 915 ft²
4 twin beds
Free cancellation
Only 2 left at this price on our site","Scored 9.5
9.5
Exceptional
321 reviews",$695
La'gent Hotel Kyoto Nijo,"Nakagyo Ward, Kyoto (Kawaramachi, Karasuma, Omiya)","Standard Twin Room
2 twin beds
Only 3 rooms left at this price on our site","Scored 8.8
8.8
Excellent
3,673 reviews",$171
Rinn Kyoto Station,"Shimogyo Ward, Kyoto (Kyoto Station Area)","Superior King Room
2 beds (1 king, 1 futon)
Only 1 room left at this price on our site","Scored 8.8
8.8
Excellent
1,422 reviews",$247
nol kyoto sanjo,"Nakagyo Ward, Kyoto (Kawaramachi)","Superior Twin Room (2 adults)
2 twin beds
Only 1 room left at this price on our site","Scored 9.3
9.3
Wonderful
536 reviews",$560
HOTEL AMANEK Kyoto Kawaramachi Gojo,"Shimogyo Ward, Kyoto (Gion)","Standard Twin Room - No View
2 twin beds
Only 1 room left at this price on our site","Scored 8.3
8.3
Very Good
2,828 reviews",$186
APA Hotel Kyoto Gion Excellent,"Higashiyama Ward, Kyoto (Gion)","Twin Room - Smoking
2 twin beds
Free cancellation
No prepayment needed – pay at the property
Only 2 rooms left at this price on our site","Scored 7.7
7.7
Good
1,844 reviews",$269
Sotetsu Fresa Inn Kyoto-Shijokarasuma,"Shimogyo Ward, Kyoto (Kawaramachi)","Connecting Room - Non-Smoking
3 beds (2 twins, 1 full)
Free cancellation
Only 3 rooms left at this price on our site","Scored 8.8
8.8
Excellent
1,971 reviews",$321
Park Hotel Kyoto,"Nakagyo Ward, Kyoto (Karasuma)","Deluxe Twin Room
Multiple bed types","Scored 8.5
8.5
Very Good
1,685 reviews",$200
Hotel Kuu Kyoto,"Shimogyo Ward, Kyoto (Kyoto Station Area)","Standard Double Room
1 queen bed
Breakfast included
No prepayment needed – pay at the property
Only 1 room left at this price on our site","Scored 9.0
9.0
Wonderful
1,921 reviews",$185
Travelodge Kyoto Shijo Omiya,"Nakagyo Ward, Kyoto (Shijo)","Standard Queen Room
1 full bed
Free cancellation
No prepayment needed – pay at the property
Only 7 rooms left at this price on our site","Scored 8.5
8.5
Very Good
4,190 reviews",$203
Hotel Anteroom Kyoto,"Minami Ward, Kyoto (Kyoto Station Area)","Petit Double Room - Nonsmoking
1 full bed
Free cancellation
No prepayment needed – pay at the property
Only 6 rooms left at this price on our site","Scored 8.7
8.7
Excellent
3,871 reviews",$207
KABIN Koji,"Shimogyo Ward, Kyoto (Gion)","Essential Queen with bathtub - Non-smoking
1 queen bed
Only 1 room left at this price on our site","Scored 9.1
9.1
Wonderful
443 reviews",$420
Kyoto Itoya Hotel,"Shimogyo Ward, Kyoto (Kawaramachi)","Economy Double Room - Non-Smoking
1 full bed
Free cancellation
Only 2 rooms left at this price on our site","Scored 8.8
8.8
Excellent
820 reviews",$170
APA Hotel Kyoto Eki Horikawadori,"Shimogyo Ward, Kyoto (Kyoto Station Area)","Double Room with Small Double Bed - Smoking
1 twin bed
Free cancellation
No prepayment needed – pay at the property","Scored 8.1
8.1
Very Good
4,331 reviews",$211
HOTEL DORIA,"Shimogyo Ward, Kyoto (Kawaramachi)","Twin Room with Private Bathroom
2 twin beds
Free cancellation
Only 1 room left at this price on our site","Scored 8.8
8.8
Excellent
922 reviews",$137
Hotel Vista Premio Kyoto Kawaramachi St,"Nakagyo Ward, Kyoto (Kawaramachi)","Standard Twin Room
2 twin beds
Free cancellation
Only 1 room left at this price on our site","Scored 8.7
8.7
Excellent
1,514 reviews",$175
MIMARU Kyoto Nijo Castle,"Nakagyo Ward, Kyoto (Karasuma)","Japanese Apartment For 5
5 beds (2 twins, 3 futons)
Only 1 room left at this price on our site","Scored 9.1
9.1
Wonderful
871 reviews",$301
